country,hale,year
Montenegro,0.0755437389016151,0.0755437389016151
Morocco,14.224567413330078,14.224567413330078
Mozambique,28.718889236450195,28.718889236450195
Myanmar,35.39234924316406,35.39234924316406
Namibia,1.360473871231079,1.360473871231079
Nauru,0.00633473880589,0.00633473880589
Nepal,13.104507446289062,13.104507446289062
Netherlands,0.0525991320610046,0.0525991320610046
New Zealand,-,-
Nicaragua,2.553993225097656,2.553993225097656
Niger,23.59556007385254,23.59556007385254
Nigeria,186.0843963623047,186.0843963623047
Niue,-,-
Norway,0.0267394799739122,0.0267394799739122
Oman,-,-
Pakistan,191.75491333007807,191.75491333007807
Palau,-,-
Panama,0.575179934501648,0.575179934501648
Papua New Guinea,6.680606842041016,6.680606842041016
Paraguay,1.345332384109497,1.345332384109497
Peru,10.779090881347656,10.779090881347656
Philippines,62.54482650756836,62.54482650756836
Poland,0.3328340351581573,0.3328340351581573
Portugal,0.1761511266231537,0.1761511266231537
Qatar,0,0
Republic of Korea,-,-
Republic of Moldova,-,-
Romania,1.3576661348342896,1.3576661348342896
Russian Federation,2.894935131072998,2.894935131072998
Rwanda,10.989486694335938,10.989486694335938
Saint Kitts and Nevis,-,-
Saint Lucia,-,-
Saint Vincent and the Grenadines,-,-
Samoa,0.0858500450849533,0.0858500450849533
San Marino,-,-
Sao Tome and Principe,0.1649550944566726,0.1649550944566726
Saudi Arabia,-,-
Senegal,13.018975257873535,13.018975257873535
Serbia,0.5125744342803955,0.5125744342803955
Seychelles,0.0064830537885427,0.0064830537885427
Sierra Leone,6.7915520668029785,6.7915520668029785
Singapore,-,-
Slovakia,-,-
Slovenia,0.0021080789156258,0.0021080789156258
Solomon Islands,0.5076413154602051,0.5076413154602051
Somalia,-,-
South Africa,34.246421813964844,34.246421813964844
South Sudan,10.461878776550291,10.461878776550291
Spain,0.9009000658988952,0.9009000658988952
Sri Lanka,10.748879432678224,10.748879432678224
Sudan,33.4656982421875,33.4656982421875
Suriname,0.1090537011623382,0.1090537011623382
Swaziland,-,-
Sweden,0.1458213478326797,0.1458213478326797
Switzerland,0.008638166822493,0.008638166822493
Syrian Arab Republic,21.56368637084961,21.56368637084961
Tajikistan,5.739509582519531,5.739509582519531
Thailand,8.750734329223633,8.750734329223633
The former Yugoslav Republic of Macedonia,-,-
Timor-Leste,1.1180802583694458,1.1180802583694458
Togo,7.706432819366455,7.706432819366455
Tonga,0.0226803496479988,0.0226803496479988
Trinidad and Tobago,0.3840455412864685,0.3840455412864685
Tunisia,1.951876759529113,1.951876759529113
Turkey,-,-
Turkmenistan,4.026793003082275,4.026793003082275
Tuvalu,0.0060075242072343,0.0060075242072343
Uganda,39.17266845703125,39.17266845703125
Ukraine,3.17228102684021,3.17228102684021
United Arab Emirates,0.037386804819107,0.037386804819107
United Kingdom,0.4691840410232544,0.4691840410232544
United Republic of Tanzania,-,-
United States of America,-,-
Uruguay,0.2170184254646301,0.2170184254646301
Uzbekistan,6.044439315795898,6.044439315795898
Vanuatu,0.2222005873918533,0.2222005873918533
Venezuela (Bolivarian Republic of),-,-
Viet Nam,19.63708877563477,19.63708877563477
Yemen,-,-
Zambia,18.78253746032715,18.78253746032715
Zimbabwe,12.98066234588623,12.98066234588623
