feature,matcher,sweep_type,param_value,num_kp1,num_kp2,num_matches,num_inliers,inlier_ratio,mean_reproj_err,t_extract_ms,t_match_ms
disk,nn,scale,0.75,2048,2048,1331,1256,0.9436513899323816,0.7866086681418044,1517.658599987044,15.252899989718571
disk,lightglue,scale,0.75,2048,2048,1322,1250,0.9455370650529501,0.7608912349462349,1517.658599987044,373.7647000089055
aliked,nn,scale,0.75,2048,1517,1265,1226,0.9691699604743083,0.7445977942908701,957.3278000025311,14.21439999830909
aliked,lightglue,scale,0.75,2048,1517,1295,1288,0.9945945945945946,0.7011468955893195,957.3278000025311,445.72400000470225
sift,nn,scale,0.75,2048,2048,1035,861,0.8318840579710145,1.1841887190204876,2275.3837000054773,17.394499998772517
sift,lightglue,scale,0.75,2048,2048,985,853,0.8659898477157361,1.1568152278359836,2275.3837000054773,1096.1410000018077
superpoint,nn,scale,0.9,2048,2048,1602,1493,0.931960049937578,1.1144449127050484,2133.4222000004956,17.53499999176711
superpoint,lightglue,scale,0.9,2048,2048,1611,1418,0.8801986343885785,1.0921987717929946,2133.4222000004956,422.15490000671707
disk,nn,scale,0.9,2048,2048,1631,1606,0.9846719803801349,0.616657120600669,1496.6502000024775,13.490600002114661
disk,lightglue,scale,0.9,2048,2048,1618,1567,0.9684796044499382,0.6232651306601384,1496.6502000024775,271.2456999870483
aliked,nn,scale,0.9,2048,1924,1659,1641,0.9891500904159132,0.48121664577019685,922.8605000098469,12.39650000934489
aliked,lightglue,scale,0.9,2048,1924,1664,1650,0.9915865384615384,0.48169939916970295,922.8605000098469,407.6774000131991
sift,nn,scale,0.9,2048,2048,1329,1050,0.7900677200902935,1.2188630316762827,2066.671300010057,15.781800000695512
sift,lightglue,scale,0.9,2048,2048,1281,1206,0.9414519906323185,1.1839185216246524,2066.671300010057,1004.8133999953279
superpoint,nn,scale,1.0,2048,2048,1993,1991,0.9989964877069744,0.1433863913045485,2094.1354999959003,17.034000004059635
superpoint,lightglue,scale,1.0,2048,2048,1991,1990,0.9994977398292315,0.14608963470595773,2094.1354999959003,352.3170999978902
disk,nn,scale,1.0,2048,2048,1983,1982,0.9994957135653051,0.055376592937669764,1525.277199994889,21.803699986776337
disk,lightglue,scale,1.0,2048,2048,1982,1982,1.0,0.055376592937669764,1525.277199994889,258.1590000045253
aliked,nn,scale,1.0,2048,2048,2000,1999,0.9995,0.08143103331607275,944.4578999973601,13.913999995565973
aliked,lightglue,scale,1.0,2048,2048,1999,1999,1.0,0.08143103331607275,944.4578999973601,403.74680000240915
sift,nn,scale,1.0,2048,2048,2001,1992,0.9955022488755623,0.07497358522977596,2062.1007999870926,16.423300010501407
sift,lightglue,scale,1.0,2048,2048,1954,1947,0.996417604912999,0.07828747065972316,2062.1007999870926,1055.6431000004523
superpoint,nn,scale,1.15,2048,2048,1516,1372,0.9050131926121372,1.15254055399714,1971.4281000051415,13.011600007303059
superpoint,lightglue,scale,1.15,2048,2048,1530,1466,0.9581699346405229,1.150349560468479,1971.4281000051415,413.2495999947423
disk,nn,scale,1.15,2048,2048,1495,1452,0.9712374581939799,0.6697862793114421,1499.9246999941533,13.774099992588162
disk,lightglue,scale,1.15,2048,2048,1486,1477,0.993943472409152,0.6684267184356405,1499.9246999941533,255.40980001096614
aliked,nn,scale,1.15,2048,2048,1612,1595,0.989454094292804,0.4737175573169209,1039.5089000085136,15.189899990218692
aliked,lightglue,scale,1.15,2048,2048,1615,1566,0.9696594427244583,0.46496819814496204,1039.5089000085136,385.367100010626
sift,nn,scale,1.15,2048,2048,1269,1112,0.876280535855004,1.1695775934117898,2147.070299994084,16.842900004121475
sift,lightglue,scale,1.15,2048,2048,1261,905,0.7176843774781919,1.2967628320938083,2147.070299994084,1019.3159000045853
superpoint,nn,scale,1.3,2048,1947,1297,1177,0.9074787972243639,1.303945256540818,2144.9368000030518,17.559699990670197
superpoint,lightglue,scale,1.3,2048,1947,1313,1284,0.9779131759329779,1.353339828511805,2144.9368000030518,373.09530000493396
disk,nn,scale,1.3,2048,2048,1220,1173,0.9614754098360656,0.8105061045926916,1536.286000002292,14.136099998722784
disk,lightglue,scale,1.3,2048,2048,1205,1175,0.975103734439834,0.8209809977093672,1536.286000002292,243.23390000790823
aliked,nn,scale,1.3,2048,2048,1312,1257,0.958079268292683,0.7016982118172378,1019.7681999998167,12.659899992286228
aliked,lightglue,scale,1.3,2048,2048,1329,1298,0.9766741911211437,0.6857948235012841,1019.7681999998167,328.9879999938421
sift,nn,scale,1.3,2048,2048,1109,829,0.7475202885482417,1.2811076114846585,2115.5887999921106,18.33390000683721
sift,lightglue,scale,1.3,2048,2048,990,903,0.9121212121212121,1.2489283421607964,2115.5887999921106,992.409200000111
